titre,entreprise,ville,contrat,date,date_expiration,lien,source
Professeur du Second Degré – Arts Plastiques-Français,N/A,Dakar,N/A,2026-04-04,2026-04-18,https://senjob.com/sn/jobseekers/professeur-du-second-degré-–-arts-plastiques-français_e_161216.html,senjob.com
Coordinateur Pédagogique,N/A,Dakar,N/A,2026-04-04,2026-04-18,https://senjob.com/sn/jobseekers/coordinateur-pédagogique_e_161215.html,senjob.com
Comptable,N/A,Dakar,N/A,2026-04-04,2026-04-18,https://senjob.com/sn/jobseekers/comptable_e_161214.html,senjob.com
Stage subventionné pour jeunes diplômés au sein de la Délégation de l’UE au Sénégal,N/A,Dakar,N/A,2026-04-04,2026-04-18,https://senjob.com/sn/jobseekers/stage-subventionné-pour-jeunes-diplômés-au-sein-de-la-délégation-de-l’ue-au-sénégal_e_161213.html,senjob.com
Chargé(e) de la Relation Client,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/chargé-e--de-la-relation-client_e_161211.html,senjob.com
Chargé(e) de Financement,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/chargé-e--de-financement_e_161210.html,senjob.com
Technicien Bâtiment H/F,N/A,Dakar,N/A,2026-04-03,2026-04-15,https://senjob.com/sn/jobseekers/technicien-bâtiment-h-f_e_161209.html,senjob.com
Ingénieur Bâtiment,N/A,Dakar,N/A,2026-04-03,2026-04-15,https://senjob.com/sn/jobseekers/ingénieur-bâtiment_e_161208.html,senjob.com
Responsable Conformité,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/responsable-conformité_e_161207.html,senjob.com
Adjoint/ Adjointe à la sécurité,N/A,Dakar,N/A,2026-04-03,2026-04-13,https://senjob.com/sn/jobseekers/adjoint--adjointe-à-la-sécurité_e_161206.html,senjob.com
Pricing and Quoting Intern Apprentice West Africa,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/pricing-and-quoting-intern-apprentice-west-africa_e_161205.html,senjob.com
Manufacturing Team Leader,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/manufacturing-team-leader_e_161204.html,senjob.com
"Stagiaire Suivi, Évaluation et Apprentissage",N/A,Dakar,N/A,2026-04-03,2026-04-18,"https://senjob.com/sn/jobseekers/stagiaire-suivi,-Évaluation-et-apprentissage_e_161203.html",senjob.com
Responsable des Finances et de l’Administration,N/A,Dakar,N/A,2026-04-03,2026-04-15,https://senjob.com/sn/jobseekers/responsable-des-finances-et-de-l’administration_e_161202.html,senjob.com
Développeur Sénior,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/développeur-sénior_e_161201.html,senjob.com
Chef(fe) des Services Administratifs (CSA),N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/chef-fe--des-services-administratifs--csa-_e_161200.html,senjob.com
Restaurant Manager,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/restaurant-manager_e_161199.html,senjob.com
HR Associate,N/A,Dakar,N/A,2026-04-03,2026-04-09,https://senjob.com/sn/jobseekers/hr-associate_e_161197.html,senjob.com
Téléconseiller en prise de RDV B2B,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/téléconseiller-en-prise-de-rdv-b2b_e_161196.html,senjob.com
Techniciennes de Surface,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/techniciennes-de-surface_e_161195.html,senjob.com
Community Manager,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/community-manager_e_161194.html,senjob.com
Formation Tech Academy et Recrutement JOJ2026,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/formation-tech-academy-et-recrutement-joj2026_e_161193.html,senjob.com
Economic Specialist,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/economic-specialist_e_161190.html,senjob.com
Chauffeur,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/chauffeur_e_161189.html,senjob.com
Agent de Sécurité,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/agent-de-sécurité_e_161188.html,senjob.com
Acheteur,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/acheteur_e_161187.html,senjob.com
Chargé de Pilotage & Performance,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/chargé-de-pilotage---performance_e_161186.html,senjob.com
Responsable de Zone,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/responsable-de-zone_e_161185.html,senjob.com
Directeur (trice) artistique,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/directeur--trice--artistique_e_161183.html,senjob.com
Chef de publicité,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/chef-de-publicité_e_161182.html,senjob.com
Content Manager,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/content-manager_e_161181.html,senjob.com
Pompiste,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/pompiste_e_161180.html,senjob.com
Technicien de baie,N/A,Thies,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/technicien-de-baie_e_161179.html,senjob.com
Rayonniste,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/rayonniste_e_161178.html,senjob.com
Caissier,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/caissier_e_161177.html,senjob.com
Laveur,N/A,Thies,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/laveur_e_161176.html,senjob.com
Gérant de boutique,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/gérant-de-boutique_e_161174.html,senjob.com
Gérant de station,N/A,Thies,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/gérant-de-station_e_161173.html,senjob.com
Commis Administratif,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/commis-administratif_e_161172.html,senjob.com
Public Engagement Assistant,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/public-engagement-assistant_e_161169.html,senjob.com
Télévendeurs en conquête mobile/marché français,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/télévendeurs-en-conquête-mobile-marché-français_e_161168.html,senjob.com
Responsable Pédagogique,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/responsable-pédagogique_e_161167.html,senjob.com
Technicien Electromécanicien,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/technicien-electromécanicien_e_161166.html,senjob.com
Commercial B2B,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/commercial-b2b_e_161164.html,senjob.com
Cuisinière professionnelle,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/cuisinière-professionnelle_e_161163.html,senjob.com
Assistant.e au primaire bilingue,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/assistant.e-au-primaire-bilingue_e_161162.html,senjob.com
Agent Enquêteur,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/agent-enquêteur_e_161161.html,senjob.com
Commerciaux,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/commerciaux_e_161160.html,senjob.com
Business Analyst,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/business-analyst_e_161159.html,senjob.com
Enseignant Bilingue,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/enseignant-bilingue_e_161158.html,senjob.com
Chargé(e) de Trade Marketing,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/chargé-e--de-trade-marketing_e_161157.html,senjob.com
Contrôleur de Gestion,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/contrôleur-de-gestion_e_161156.html,senjob.com
Chef de la sécurité,N/A,Thies,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/chef-de-la-sécurité_e_161155.html,senjob.com
Emerging Leaders Trainee Programme,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/emerging-leaders-trainee-programme_e_161154.html,senjob.com
"Assistant(e) administratif(ve), achats et comptabilité",N/A,Dakar,N/A,2026-04-01,2026-04-16,"https://senjob.com/sn/jobseekers/assistant-e--administratif-ve-,-achats-et-comptabilité_e_161153.html",senjob.com
Assistant(e) de Direction,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/assistant-e--de-direction_e_161152.html,senjob.com
