titre,entreprise,ville,contrat,date,lien,source
"Recrutement Stagiaires/Infographe,Développeur",N/A,"Mermoz,
                                                                                Dakar",,"13. mars, 16:41",https://www.expat-dakar.com/annonce/recrutement-stagiairesinfographedeveloppeur-6649417,expat-dakar.com
Secrétaire de Direction,ESMT,"Dakar,
                                                                                Dakar",ESMT,"13. mars, 09:50",https://www.expat-dakar.com/annonce/secretaire-de-direction-6648484,expat-dakar.com
Entreprise de Livraison recrute chauffeur,Nabi Shipping,"Liberte 6,
                                                                                Dakar",Nabi Shipping,"13. mars, 09:31",https://www.expat-dakar.com/annonce/entreprise-de-livraison-recrute-chauffeur-6647845,expat-dakar.com
Femme de ménage,N/A,"Almadies 2,
                                                                                Dakar",,"12. mars, 23:32",https://www.expat-dakar.com/annonce/femme-de-menage-6363377,expat-dakar.com
RECRUTEMENT ASSISTANTE COMMERCIALE,N/A,"Ouakam,
                                                                                Dakar",,"12. mars, 11:53",https://www.expat-dakar.com/annonce/recrutement-assistante-commerciale-6646764,expat-dakar.com
COIFFEUR PROFESIONNEL,O'BARBER'CHIC,"Mamelles,
                                                                                Dakar",O'BARBER'CHIC,"11. mars, 10:55",https://www.expat-dakar.com/annonce/coiffeur-profesionnel-6645153,expat-dakar.com
Marking et communication,Farm & innovative Technology,"Mbour,
                                                                                Thiès",Farm & innovative Technology,"10. mars, 14:03",https://www.expat-dakar.com/annonce/marking-et-communication-6643994,expat-dakar.com
RECRUTEMENT PERSONNEL,N/A,"Mbao,
                                                                                Dakar",,"9. mars, 15:46",https://www.expat-dakar.com/annonce/recrutement-personnel-6642852,expat-dakar.com
Cuisinier plat senegalais et europeen aux maristes,N/A,"Hann maristes,
                                                                                Dakar",,"9. mars, 14:22",https://www.expat-dakar.com/annonce/cuisinier-plat-senegalais-et-europeen-aux-maristes-6642683,expat-dakar.com
Cuisinier fast-food aux maristes,N/A,"Hann maristes,
                                                                                Dakar",,"9. mars, 14:27",https://www.expat-dakar.com/annonce/cuisinier-fast-food-aux-maristes-6642621,expat-dakar.com
Serveuse Fast-Food – Maristes,N/A,"Hann maristes,
                                                                                Dakar",,"9. mars, 14:01",https://www.expat-dakar.com/annonce/serveuse-fast-food-maristes-6642622,expat-dakar.com
