titre,entreprise,ville,contrat,date,lien,source
Agent Enquêteur,N/A,Dakar,Emplois,2 avr. 2026 à 0h00,https://annonces.senego.com/agent-enqueteur/277,senego.com
Commercial B2B,N/A,Dakar,Emplois,2 avr. 2026 à 0h00,https://annonces.senego.com/commercial-b2b/274,senego.com
Commerciaux,N/A,Dakar,Emplois,2 avr. 2026 à 0h00,https://annonces.senego.com/commerciaux/278,senego.com
Cuisinière professionnelle,N/A,Dakar,Emplois,2 avr. 2026 à 0h00,https://annonces.senego.com/cuisiniere-professionnelle/275,senego.com
Technicien Electromécanicien,N/A,Dakar,Emplois,2 avr. 2026 à 0h00,https://annonces.senego.com/technicien-electromecanicien/272,senego.com
Public Engagement Assistant,N/A,Dakar,Emplois,2 avr. 2026 à 0h00,https://annonces.senego.com/public-engagement-assistant/269,senego.com
Contrôleur de Gestion,N/A,Dakar,Emplois,2 avr. 2026 à 0h00,https://annonces.senego.com/controleur-de-gestion/282,senego.com
Senior Specialist – WISH 2 Clinical SupportCDI,N/A,Dakar,Emplois,1er avr. 2026 à 12h00,https://annonces.senego.com/senior-specialist-wish-2-clinical-supportcdi/267,senego.com
Coordinateur.rice régional.e pédagogique Afrique,N/A,Dakar,Emplois,1er avr. 2026 à 6h01,https://annonces.senego.com/coordinateur.rice-regional.e-pedagogique-afrique/251,senego.com
Consultant Expert Socio ou Agroéconomiste,N/A,Dakar,Emplois,1er avr. 2026 à 6h01,https://annonces.senego.com/consultant-expert-socio-ou-agroeconomiste/255,senego.com
Responsable Fiscalité et Conformité,N/A,Dakar,Emplois,1er avr. 2026 à 6h01,https://annonces.senego.com/responsable-fiscalite-et-conformite/252,senego.com
Assistante Commerciale résidante à Tambacounda,N/A,Dakar,Emplois,1er avr. 2026 à 6h01,https://annonces.senego.com/assistante-commerciale-residante-a-tambacounda/265,senego.com
Maitre d’Hotel,N/A,Dakar,Emplois,1er avr. 2026 à 6h01,https://annonces.senego.com/maitre-dhotel/262,senego.com
Project Manager,N/A,Dakar,Emplois,1er avr. 2026 à 6h01,https://annonces.senego.com/project-manager/259,senego.com
Responsable Atelier Mécanique et Coordination,N/A,Dakar,Emplois,1er avr. 2026 à 6h01,https://annonces.senego.com/responsable-atelier-mecanique-et-coordination/256,senego.com
Chauffeur Paferceau/O Wood,N/A,Dakar,Emplois,1er avr. 2026 à 6h01,https://annonces.senego.com/chauffeur-paferceau-o-wood/253,senego.com
Stagiaire en Droit,N/A,Dakar,Emplois,1er avr. 2026 à 6h01,https://annonces.senego.com/stagiaire-en-droit/250,senego.com
Agents de nettoyage,N/A,Dakar,Emplois,1er avr. 2026 à 6h01,https://annonces.senego.com/agents-de-nettoyage/263,senego.com
Chargé.e de Gestion Administrative et Financière,N/A,Dakar,Emplois,1er avr. 2026 à 6h01,https://annonces.senego.com/charge.e-de-gestion-administrative-et-financiere/260,senego.com
Commercial Sédentaire / Téléprospecteur (H/F),N/A,Dakar,Emplois,1er avr. 2026 à 6h01,https://annonces.senego.com/commercial-sedentaire-teleprospecteur-h-f/257,senego.com
Agent de Support Client H/F,N/A,Dakar,Emplois,1er avr. 2026 à 6h01,https://annonces.senego.com/agent-de-support-client-h-f/254,senego.com
Assistant Caissier et commercial,N/A,Dakar,Emplois,1er avr. 2026 à 6h01,https://annonces.senego.com/assistant-caissier-et-commercial/264,senego.com
"Technical Specialists, Refugees and Displaced PersonsCDI",N/A,Dakar,Emplois,31 mars 2026 à 12h00,https://annonces.senego.com/technical-specialists-refugees-and-displaced-personscdi/249,senego.com
Consultant Support FAI avec expertise N1,N/A,Dakar,Emplois,31 mars 2026 à 12h00,https://annonces.senego.com/consultant-support-fai-avec-expertise-n1/248,senego.com
Ferrailleurs,N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/ferrailleurs/245,senego.com
Conducteur Travaux CVCD & Plomberie,N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/conducteur-travaux-cvcd-plomberie/242,senego.com
Internal Auditor,N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/internal-auditor/239,senego.com
Agent Assurance Qualité / Contrôle Qualité,N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/agent-assurance-qualite-controle-qualite/236,senego.com
Assistant de passation de marchés,N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/assistant-de-passation-de-marches/233,senego.com
Stagiaire Communication & Marketing Digital,N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/stagiaire-communication-marketing-digital/246,senego.com
Bilingual HR Operations,N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/bilingual-hr-operations/243,senego.com
Référent.e Maladies Non Transmissibles,N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/referent.e-maladies-non-transmissibles/234,senego.com
Global Assurance Manager,N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/global-assurance-manager/231,senego.com
Commercial Terrain (H/F),N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/commercial-terrain-h-f/247,senego.com
Ingénieur Génie Civil Bilingue,N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/ingenieur-genie-civil-bilingue/244,senego.com
Livreur,N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/livreur/241,senego.com
Regional Infrastructure Advisor,N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/regional-infrastructure-advisor/238,senego.com
Assistant(e) Administratif(ve) et Qualité,N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/assistant-e-administratif-ve-et-qualite/235,senego.com
Superviseur Génie Civil,N/A,Dakar,Emplois,31 mars 2026 à 0h00,https://annonces.senego.com/superviseur-genie-civil/232,senego.com
CommercialCDI,N/A,Dakar,Emplois,30 mars 2026 à 18h01,https://annonces.senego.com/commercialcdi/230,senego.com
APPEL à CONSULTANCE /Recrutement d'un.e Consul...,N/A,Dakar,Emplois,30 mars 2026 à 18h01,https://annonces.senego.com/appel-a-consultance-recrutement-dun.e-consul.../227,senego.com
APPEL à CONSULTANCE /Recrutement d'un.e Consultant.e pour la productio...,N/A,Dakar,Emplois,30 mars 2026 à 18h01,https://annonces.senego.com/appel-a-consultance-recrutement-dun.e-consultant.e-pour-la-production-des-videos-pour-le-projet-africa-health-collaborative/228,senego.com
"Humanitarian Affairs Officer/Pooled Fund Manager, P4CDI",N/A,Dakar,Emplois,30 mars 2026 à 12h00,https://annonces.senego.com/humanitarian-affairs-officer-pooled-fund-manager-p4cdi/225,senego.com
Tailleur Costume sur mesure,N/A,Dakar,Emplois,30 mars 2026 à 0h00,https://annonces.senego.com/tailleur-costume-sur-mesure/216,senego.com
Regional Business Development Director – West and Central Africa,N/A,Dakar,Emplois,30 mars 2026 à 0h00,https://annonces.senego.com/regional-business-development-director-west-and-central-africa/213,senego.com
Agent transit,N/A,Dakar,Emplois,30 mars 2026 à 0h00,https://annonces.senego.com/agent-transit/223,senego.com
Chef de mission – Expert en stratégie de communication,N/A,Dakar,Emplois,30 mars 2026 à 0h00,https://annonces.senego.com/chef-de-mission-expert-en-strategie-de-communication/220,senego.com
"Directeur(rice) Technique pour la santé maternelle, Néonatale et infan...",N/A,Dakar,Emplois,30 mars 2026 à 0h00,https://annonces.senego.com/directeur-rice-technique-pour-la-sante-maternelle-neonatale-et-infantile-et-nutrition/224,senego.com
Agent commercial,N/A,Dakar,Emplois,30 mars 2026 à 0h00,https://annonces.senego.com/agent-commercial/221,senego.com
Référent.e Maladies Non Transmissibles F/H,N/A,Dakar,Emplois,30 mars 2026 à 0h00,https://annonces.senego.com/referent.e-maladies-non-transmissibles-f-h/215,senego.com
Conducteur Travaux CVCD & plomberie,N/A,Dakar,Emplois,30 mars 2026 à 0h00,https://annonces.senego.com/conducteur-travaux-cvcd-plomberie/222,senego.com
Gestionnaire de Portefeuille,N/A,Dakar,Emplois,28 mars 2026 à 0h00,https://annonces.senego.com/gestionnaire-de-portefeuille/203,senego.com
Comptable & Assistant(e) administratif(ve),N/A,Dakar,Emplois,28 mars 2026 à 0h00,https://annonces.senego.com/comptable-assistant-e-administratif-ve/200,senego.com
"Officer, Livelihoods & Resilience",N/A,Dakar,Emplois,28 mars 2026 à 0h00,https://annonces.senego.com/officer-livelihoods-resilience/210,senego.com
Responsable des Etudes et offres,N/A,Dakar,Emplois,28 mars 2026 à 0h00,https://annonces.senego.com/responsable-des-etudes-et-offres/207,senego.com
Responsable de projet,N/A,Dakar,Emplois,28 mars 2026 à 0h00,https://annonces.senego.com/responsable-de-projet/204,senego.com
Responsable Commercial,N/A,Dakar,Emplois,28 mars 2026 à 0h00,https://annonces.senego.com/responsable-commercial/201,senego.com
Merchant Distribution Supervisor,N/A,Dakar,Emplois,28 mars 2026 à 0h00,https://annonces.senego.com/merchant-distribution-supervisor/211,senego.com
Directeur des Etudes et offres,N/A,Dakar,Emplois,28 mars 2026 à 0h00,https://annonces.senego.com/directeur-des-etudes-et-offres/208,senego.com
Conseiller technique régional STRIDES,N/A,Dakar,Emplois,28 mars 2026 à 0h00,https://annonces.senego.com/conseiller-technique-regional-strides/205,senego.com
Deux (2) premiers Commis de Cuisine,N/A,Dakar,Emplois,28 mars 2026 à 0h00,https://annonces.senego.com/deux-2-premiers-commis-de-cuisine/202,senego.com
Comptable,N/A,Dakar,Emplois,28 mars 2026 à 0h00,https://annonces.senego.com/comptable/199,senego.com
Interprète Billingue CHINOIS,N/A,Dakar,Emplois,28 mars 2026 à 0h00,https://annonces.senego.com/interprete-billingue-chinois/212,senego.com
Ingénieur de projets batiments,N/A,Dakar,Emplois,28 mars 2026 à 0h00,https://annonces.senego.com/ingenieur-de-projets-batiments/209,senego.com
Référent.e Maladies Non Transmissibles F/HCDI,N/A,Dakar,Emplois,27 mars 2026 à 18h01,https://annonces.senego.com/referent.e-maladies-non-transmissibles-f-hcdi/198,senego.com
Coordinateur.rice régional.e pédagogique AfriqueCDI,N/A,Dakar,Emplois,27 mars 2026 à 12h00,https://annonces.senego.com/coordinateur.rice-regional.e-pedagogique-afriquecdi/197,senego.com
Regional Business Development Director – West and Central AfricaCDI,N/A,Dakar,Emplois,26 mars 2026 à 18h00,https://annonces.senego.com/regional-business-development-director-west-and-central-africacdi/195,senego.com
HUMANITARIAN AFFAIRS OFFICER (Risk and Compliance) (Multiple Duty Stat...,N/A,Dakar,Emplois,26 mars 2026 à 18h00,https://annonces.senego.com/humanitarian-affairs-officer-risk-and-compliance-multiple-duty-stations-p4cdi/196,senego.com
Consultant Support FAI,N/A,Dakar,Emplois,26 mars 2026 à 12h00,https://annonces.senego.com/consultant-support-fai/194,senego.com
Deux (02) Électriciens,N/A,Dakar,Emplois,26 mars 2026 à 0h00,https://annonces.senego.com/deux-02-electriciens/190,senego.com
02 Menuisiers,N/A,Dakar,Emplois,26 mars 2026 à 0h00,https://annonces.senego.com/02-menuisiers/188,senego.com
Professeur français/mathématiques pour orphelinat,N/A,Dakar,Emplois,26 mars 2026 à 0h00,https://annonces.senego.com/professeur-francais-mathematiques-pour-orphelinat/185,senego.com
Chargé de support technique (bilingue),N/A,Dakar,Emplois,26 mars 2026 à 0h00,https://annonces.senego.com/charge-de-support-technique-bilingue/182,senego.com
Directeur d’exploitation,N/A,Dakar,Emplois,26 mars 2026 à 0h00,https://annonces.senego.com/directeur-dexploitation/179,senego.com
02 Mécaniciens,N/A,Dakar,Emplois,26 mars 2026 à 0h00,https://annonces.senego.com/02-mecaniciens/192,senego.com
Deux (02) Techniciens Instrumentistes,N/A,Dakar,Emplois,26 mars 2026 à 0h00,https://annonces.senego.com/deux-02-techniciens-instrumentistes/189,senego.com
Deux (02) Agents moyens généraux,N/A,Dakar,Emplois,26 mars 2026 à 0h00,https://annonces.senego.com/deux-02-agents-moyens-generaux/186,senego.com
Responsable des Ventes,N/A,Dakar,Emplois,26 mars 2026 à 0h00,https://annonces.senego.com/responsable-des-ventes/183,senego.com
Responsable administratif et financier,N/A,Dakar,Emplois,26 mars 2026 à 0h00,https://annonces.senego.com/responsable-administratif-et-financier/180,senego.com
Responsable RH,N/A,Dakar,Emplois,26 mars 2026 à 0h00,https://annonces.senego.com/responsable-rh/177,senego.com
Public Health Specialist (Emergency Management),N/A,Dakar,Emplois,25 mars 2026 à 0h00,https://annonces.senego.com/public-health-specialist-emergency-management/176,senego.com
Aide Gouvernante,N/A,Dakar,Emplois,25 mars 2026 à 0h00,https://annonces.senego.com/aide-gouvernante/173,senego.com
Gestionnaire du patrimoine – Lots techniques,N/A,Dakar,Emplois,25 mars 2026 à 0h00,https://annonces.senego.com/gestionnaire-du-patrimoine-lots-techniques/170,senego.com
Spécialiste Infrastructure – Cloud,N/A,Dakar,Emplois,25 mars 2026 à 0h00,https://annonces.senego.com/specialiste-infrastructure-cloud/167,senego.com
"PostDoc in Data Science, Modelling",N/A,Dakar,Emplois,25 mars 2026 à 0h00,https://annonces.senego.com/postdoc-in-data-science-modelling/164,senego.com
Chargé(e) National (e) des Affaires Humanitaires,N/A,Dakar,Emplois,25 mars 2026 à 0h00,https://annonces.senego.com/charge-e-national-e-des-affaires-humanitaires/161,senego.com
Commercial – Marketing Digital,N/A,Dakar,Emplois,25 mars 2026 à 0h00,https://annonces.senego.com/commercial-marketing-digital/171,senego.com
Superviseur HSE,N/A,Dakar,Emplois,25 mars 2026 à 0h00,https://annonces.senego.com/superviseur-hse/162,senego.com
Technicien en surveillance et système de contrôle d’accès,N/A,Dakar,Emplois,25 mars 2026 à 0h00,https://annonces.senego.com/technicien-en-surveillance-et-systeme-de-controle-dacces/172,senego.com
Gestionnaire de la sécurité incendie,N/A,Dakar,Emplois,25 mars 2026 à 0h00,https://annonces.senego.com/gestionnaire-de-la-securite-incendie/169,senego.com
Responsable des opérations des partenariats,N/A,Dakar,Emplois,25 mars 2026 à 0h00,https://annonces.senego.com/responsable-des-operations-des-partenariats/166,senego.com
Point focal,N/A,Dakar,Emplois,25 mars 2026 à 0h00,https://annonces.senego.com/point-focal/163,senego.com
Commercial Secteur : Location de voitures & Transport touristique,N/A,Dakar,Emplois,24 mars 2026 à 12h00,https://annonces.senego.com/commercial-secteur-location-de-voitures-transport-touristique/160,senego.com
Responsable Financier (Finance manager),N/A,Dakar,Emplois,24 mars 2026 à 0h00,https://annonces.senego.com/responsable-financier-finance-manager/154,senego.com
Programme Manager,N/A,Dakar,Emplois,24 mars 2026 à 0h00,https://annonces.senego.com/programme-manager/151,senego.com
UI/UX Designer,N/A,Dakar,Emplois,24 mars 2026 à 0h00,https://annonces.senego.com/ui-ux-designer/148,senego.com
Data scientist / biostatisticien(ne) clinique,N/A,Dakar,Emplois,24 mars 2026 à 0h00,https://annonces.senego.com/data-scientist-biostatisticien-ne-clinique/145,senego.com
Junior Business Development Manager / Trainee,N/A,Dakar,Emplois,24 mars 2026 à 0h00,https://annonces.senego.com/junior-business-development-manager-trainee/158,senego.com
Ingénieur en Electromécanique,N/A,Dakar,Emplois,24 mars 2026 à 0h00,https://annonces.senego.com/ingenieur-en-electromecanique/155,senego.com
Buandier,N/A,Dakar,Emplois,24 mars 2026 à 0h00,https://annonces.senego.com/buandier/152,senego.com
Communications and Multimedia Officer (bilingue),N/A,Dakar,Emplois,24 mars 2026 à 0h00,https://annonces.senego.com/communications-and-multimedia-officer-bilingue/149,senego.com
Chercheur en science clinique,N/A,Dakar,Emplois,24 mars 2026 à 0h00,https://annonces.senego.com/chercheur-en-science-clinique/146,senego.com
Chargé(e) de projets et de programmes cultuels d’évènements,N/A,Dakar,Emplois,24 mars 2026 à 0h00,https://annonces.senego.com/charge-e-de-projets-et-de-programmes-cultuels-devenements/159,senego.com
Commerciale,N/A,Dakar,Emplois,24 mars 2026 à 0h00,https://annonces.senego.com/commerciale/143,senego.com
Chargé·e Développement Commercial & Relation Client B2B,N/A,Dakar,Emplois,24 mars 2026 à 0h00,https://annonces.senego.com/charge·e-developpement-commercial-relation-client-b2b/156,senego.com
